network,county,station,station_zh,longitude,latitude,elevation
CWB_SMT,臺北市,TAP,臺北地震站,121.514,25.038,16
TSMIP,新北市,A024,板橋地震站,121.475,25.019,14
CWASN,新北市,NTS,淡水地震站,121.449,25.164,15
CWASN,新北市,TIPB,雙溪地震站,121.826,24.972,399
CWASN,基隆市,NOU,基隆地震站,121.773,25.149,16
CWB_SMT,桃園市,NTY,桃園地震站,121.298,25.000,93
CWASN,桃園市,NCU,中壢地震站,121.187,24.967,131
TSMIP,桃園市,B011,大溪地震站,121.286,24.884,117
CWASN,新竹市,HSN1,新竹地震站,121.018,24.779,91
CWASN,新竹縣,HSN,竹北地震站,121.014,24.828,31
CWASN,新竹縣,NJD,竹東地震站,121.088,24.736,131
TSMIP,苗栗縣,B131,苗栗地震站,120.826,24.565,50
CWB_SMT,苗栗縣,TWQ1,鯉魚潭地震站,120.781,24.346,286
TSMIP,苗栗縣,B045,(沒有泰安)獅潭地震站,120.9206,24.5399,201
CWASN,臺中市,TCU,臺中地震站,120.684,24.146,89
CWASN,臺中市,WDJ,大甲地震站,120.640,24.348,99
CWA,臺中市,WHP,烏石坑地震站,120.946,24.278,934
CWB_SMT,南投縣,WNT1,南投地震站,120.680,23.907,118
CWASN,南投縣,WPL,埔里地震站,120.957,24.012,465
CWASN,南投縣,WHY,信義地震站,120.853,23.696,495
CWASN,彰化縣,WCHH,彰化地震站,120.558,24.079,25
CWASN,彰化縣,WYL,員林地震站,120.580,23.960,33
CWASN,雲林縣,WDL,斗六地震站,120.539,23.715,52
CWASN,雲林縣,WSL,水林地震站,120.228,23.523,3
CWASN,嘉義市,CHY1,嘉義地震站,120.433,23.496,31
TSMIP,嘉義縣,C095,太保地震站,23.46,120.29,10
CWASN,嘉義縣,WCKO,番路地震站,120.605,23.439,233
CWASN,臺南市,TAI,臺南地震站,120.205,22.993,19
TSMIP,臺南市,C015,白河地震站,120.414,23.353,39
CWB_SMT,臺南市,CHN1,楠西地震站,120.529,23.185,216
CWASN,高雄市,KAU,前鎮地震站,22.5662,120.3157,1
CWASN,高雄市,SCS,旗山地震站,120.494,22.885,70
CWASN,屏東縣,SPT,屏東地震站,120.496,22.677,29
CWASN,屏東縣,HEN,恆春地震站,120.746,22.004,26
CWASN,屏東縣,SSD,三地門地震站,120.640,22.744,148
CWASN,宜蘭縣,ILA,宜蘭地震站,121.756,24.764,11
CWB_SMT,宜蘭縣,TWC,蘇澳地震站,121.860,24.608,33
CWB_SMT,宜蘭縣,ENT,牛鬥地震站,121.574,24.638,252
CWASN,花蓮縣,HWA,花蓮地震站,121.613,23.975,18
CWASN,花蓮縣,EGFH,光復地震站,121.427,23.669,126
CWASN,花蓮縣,EYUL,玉里地震站,121.319,23.347,138
CWASN,臺東縣,TTN,臺東地震站,121.155,22.752,12
CWASN,臺東縣,ECS,池上地震站,121.219,23.095,286
CWASN,臺東縣,TAWH,大武地震站,120.888,22.340,24
CWASN,澎湖縣,PNG,馬公地震站,119.564,23.565,10
CWASN,金門縣,KNM,金門地震站,118.289,24.407,31
CWASN,連江縣,MSU,馬祖地震站,119.923,26.169,85
